"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08","WT09"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-11","14.32",,"0.00","0.0","0.0","74","82","69","  180","  180","25.1","35.1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-12","13.20",,"0.00","0.0","0.0","74","83","68","  160","  150","23.9","35.1","    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-13","15.88",,"0.11","0.0","0.0","72","79","68","  150","  160","28.0","40.0","    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-14","6.93",,"0.07","0.0","0.0","66","75","44","  160","  150","21.9","31.1","    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-15","5.37",,"0.00","0.0","0.0","60","86","37","  180","  190","13.0","21.0","    1",,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-16","10.96",,"0.00","0.0",,"72","84","67","  150","  140","21.9","31.1","    1",,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-17","15.66",,"0.00","0.0","0.0","73","79","56","  320","  300","25.9","40.9","    1",,,,"    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-18","14.99",,"0.00","0.0","0.0","60","74","47","  350","  350","28.0","38.9",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-19","11.63",,"0.00","0.0","0.0","56","71","43","   21","  360","17.0","29.1",,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2021-03-20","2.91",,"0.00","0.0","0.0","54","71","36","  120","  120","12.1","15.0",,,,,,
