"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-28",,,,,,,"46",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-29",,,,,,,"54",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-09-30",,,,,,,"53","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-01",,"0.00",,,,,"51","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-02",,"0.00",,,,,"54","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-03",,"0.00",,,,,"51","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-04",,"0.00",,,,,"52","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-05",,"0.00",,,,,"51","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-06",,"0.00",,,,,"50","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-07",,"0.00",,,,,"52","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-08",,"0.00",,,,,"53","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-09",,"0.00",,,,,"49","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-10",,"0.00",,,,,"41","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-11",,"0.10",,,,,"30","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-12",,"0.10",,,,,"30","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-13",,"0.30",,,,,"22","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-14",,"0.30",,,,,"20","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-15",,"0.00",,,,,"22","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-16",,"0.20",,,,,"21","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-17",,"0.00",,,,,"29","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-18",,"0.10",,,,,"34","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-19",,"0.00",,,,,"36","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-20",,"0.00",,,,,"40","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-21",,"0.00",,,,,"33","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-22",,"0.00",,,,,"39","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-23",,"0.00",,,,,"42","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-24",,"0.30",,,,,"35","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-25",,"0.30",,,,,"22","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-26",,"0.20",,,,,"25","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-27",,"0.00",,,,,"25","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-28",,"0.00",,,,,"38","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-29",,"0.00",,,,,"41","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-30",,"0.00",,,,,"41","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-10-31",,"0.00",,,,,"39","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-01",,"0.00",,,,,"38","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-02",,"0.00",,,,,"45","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-03",,"0.00",,,,,"47","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-04",,"0.00",,,,,"46","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-05",,"0.00",,,,,"41","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-06",,"0.00",,,,,"40","0.0",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-07",,"1.20",,,,,"34","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-08",,"0.00",,,,,"35","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-09",,"0.00",,,,,"30","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-10",,"0.60",,,,,"27","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-11",,"0.30",,,,,"18","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-12",,"0.00",,,,,"20","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-13",,"0.00",,,,,"28","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-14",,"0.10",,,,,"17","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-15",,"0.00",,,,,"20","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-16",,"0.00",,,,,"29","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-17",,"0.00",,,,,"29","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-18",,"0.10",,,,,"31","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-19",,"0.00",,,,,"23","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-20",,"0.00",,,,,"31","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-21",,"0.10",,,,,"26","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-22",,"0.10",,,,,"28","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-23",,"0.20",,,,,"13","0.7",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-24",,"0.30",,,,,"31","1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-25",,"0.10",,,,,"31","1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-26",,"0.00",,,,,,"1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-27",,"0.00",,,,,"45","1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-28",,"0.00",,,,,"34","1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-29",,"0.00",,,,,"25","1.4",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-11-30",,"0.60",,,,,"21","1.5",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-12-01",,"0.40",,,,,"27","1.8",
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1980-12-02",,"0.20",,,,,"24","1.9",
