STATION,STATION_NAME,DATE,HPCP
COOP:048332,SODA SPRINGS 1 E CA US,19611021 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611026 03:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611026 04:00,0.09
COOP:048332,SODA SPRINGS 1 E CA US,19611026 05:00,0.16
COOP:048332,SODA SPRINGS 1 E CA US,19611026 06:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611026 07:00,0.08
COOP:048332,SODA SPRINGS 1 E CA US,19611026 08:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611026 14:00,0.13
COOP:048332,SODA SPRINGS 1 E CA US,19611026 15:00,0.13
COOP:048332,SODA SPRINGS 1 E CA US,19611026 16:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611026 17:00,0.06
COOP:048332,SODA SPRINGS 1 E CA US,19611026 18:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 01:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 02:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 03:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 04:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 05:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611027 06:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 07:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 08:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611027 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 10:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611027 11:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611027 12:00,0.04
COOP:048332,SODA SPRINGS 1 E CA US,19611027 13:00,0.07
COOP:048332,SODA SPRINGS 1 E CA US,19611027 14:00,0.05
COOP:048332,SODA SPRINGS 1 E CA US,19611027 15:00,0.28
COOP:048332,SODA SPRINGS 1 E CA US,19611027 16:00,0.10
COOP:048332,SODA SPRINGS 1 E CA US,19611027 17:00,0.15
COOP:048332,SODA SPRINGS 1 E CA US,19611027 18:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611027 19:00,0.12
COOP:048332,SODA SPRINGS 1 E CA US,19611027 20:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611028 09:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611028 10:00,0.01
COOP:048332,SODA SPRINGS 1 E CA US,19611028 11:00,0.02
COOP:048332,SODA SPRINGS 1 E CA US,19611101 01:00,0.00
