"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WSFI"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-01","2.24","0.00",,"37.0","14","29","8","21","15.5","21.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-02","10.29","0.00",,"35.0","27","34","19","33","15.5","31.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-03","7.16","0.00",,"35.0","34","38","27","35","15.5","30.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-04","8.50","0.00",,"35.0","30","35","28","29","15.5","28.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-05","11.86","0.50",,"43.0","28","31","24","24","16.0","38.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-06","9.62","0.10",,"44.0","24","27","22","24","16.1","35.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-07","5.59","0.70",,"44.0","22","27","18","19","16.8","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-08","3.13","0.00",,"43.0","23","35","17","25","16.8","15.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-09","5.59","0.10",,"43.0","26","32","23","26","16.8","23.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-10","1.34","0.10",,"44.0","25","31","20","24","16.8","6.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-11","5.82","0.00",,"43.0","33","45","21","32","16.8","21.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-12","7.38","0.00",,"42.0","36","43","29","30","16.8","32.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-13","16.55","1.00",,"51.0","27","34","23","24","17.8","56.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-14","12.08","1.40",,"55.0","26","32","22","28","19.2","50.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-15","10.74","0.30",,"54.0","29","34","22","27","19.5","45.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-16","12.97","0.80",,"54.0","33","36","27","31","20.3","42.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-17","8.95","0.60",,"56.0","33","35","30","31","21.0","39.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-18","6.49","0.60",,"60.0","31","38","29","30","21.6","25.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-19","13.20","1.30",,"65.0","31","35","29","29","23.5","43.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-20","9.84","0.00",,"62.0","33","38","28","38","23.5","39.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-21","7.83","0.00",,"61.0","40","45","35","35","23.6","34.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-22","14.54","0.10",,"61.0","33","36","29","33","23.7","45.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-23","12.08","1.50",,"67.0","27","34","25","26","25.2","44.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-24","8.50","0.10",,"68.0","26","30","24","29","25.3","21.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-25","2.24","0.00",,"68.0","29","43","24","27","25.3","13.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-26","2.46","0.00",,"67.0","36","48","27","37","25.3","14.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-27","6.93","0.00",,"66.0","41","45","35","41","25.3","21.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-28","12.75","0.10",,"63.0","39","45","31","37","25.4","35.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-29","15.88","4.60",,"64.0","37","39","34","34","29.3","59.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-30","10.96","0.40",,"68.0","25","34","22","23","29.7","43.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-01-31","6.04","0.60",,"76.0","20","25","13","14","30.3","30.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-01","7.16","0.00",,"72.0","15","28","10","17","30.0","26.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-02","6.49","0.00",,"71.0","18","33","15","17","29.9","25.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-03","7.38","0.00",,"70.0","26","36","15","26","29.9","31.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-04","2.46","0.00",,"70.0","30","43","23","27","29.9","21.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-05","6.26","0.00",,"69.0","34","41","25","36","29.9","21.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-06","3.80","0.00",,"68.0","39","46","33","35","29.9","13.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-07","4.70","0.00",,"66.0","38","45","33","34","29.9","23.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-08","3.13","0.00",,"66.0","41","50","33","41","29.8","17.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-09","4.47","0.00",,"64.0","48","59","38","47","29.7","19.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-10","4.03","0.00",,"63.0","46","54","42","43","29.6","17.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-11","5.59","0.00",,"62.0","47","56","43","43","29.4","29.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-12","5.37","0.00",,"61.0","44","52","40","40","29.1","19.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-13","6.49","0.00",,"61.0","43","52","38","40","28.8","17.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-14","6.26","0.00",,"61.0","39","45","34","37","28.5","25.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-15","2.01","0.00",,"60.0","42","52","35","46","28.2","11.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-16","7.16","0.00",,"58.0","49","56","45","48","28.2","29.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-17","19.46","0.50",,"60.0","36","50","24","25","28.4","59.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-18","13.87","1.20",,"67.0","24","27","22","27","29.2","49.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-19","11.18","0.20",,"61.0","28","30","24","30","28.1","44.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-20","5.59","0.00",,"60.0","36","46","28","35","28.1","28.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-21","9.17","0.00",,"60.0","37","46","30","31","28.1","24.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-22","2.68","0.00",,"59.0","36","47","26","38","28.1","13.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-23","5.14","0.00",,"59.0","43","50","34","41","28.1","20.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-24","6.71","0.00",,"58.0","42","47","38","40","28.1","26.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-25","5.59","0.00",,"56.0","45","51","38","45","28.1","15.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-26","8.95","0.00",,"56.0","43","49","36","36","28.0","43.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-27","10.74","0.00",,"56.0","38","44","35","38","27.8","33.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-28","8.05","0.00",,"55.0","39","45","36","37","27.6","25.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-02-29","7.83","0.00",,"55.0","39","45","35","40","27.4","21.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-01","10.07","0.00",,"54.0","40","44","36","38","27.1","39.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-02","8.95","0.00",,"53.0","41","49","36","38","26.8","37.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-03","9.40","0.00",,"52.0","38","42","35","37","26.6","41.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-04","6.71","1.20",,"58.0","36","40","32","32","28.4","32.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-05","11.86","1.20",,"63.0","34","37","31","31","29.6","46.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-06","14.99","1.80",,"70.0","25","31","22","26","31.4","42.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-07","8.05","0.20",,"77.0","27","37","24","25","31.6","42.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-08","8.95","0.20",,"75.0","27","32","22","30","32.0","32.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-09","14.99","0.90",,"72.0","35","38","30","35","33.2","51.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-10","11.86","0.00",,"73.0","35","39","32","35","33.2","51.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-11","14.99","0.10",,"73.0","30","37","24","25","33.3","49.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-12","11.41","1.30",,"82.0","27","30","25","29","35.2","43.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-13","11.63","3.30",,"102.0","30","33","28","33","40.1","49.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-14","14.99","0.00",,"94.0","29","33","24","32","40.1","54.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-15","6.49","0.00",,"92.0","34","42","30","31","40.1","17.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-16","3.13","0.00",,"90.0","41","56","31","37","40.1","10.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-17","3.13","0.00",,"87.0","42","57","32","42","40.1","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-18","5.14","0.00",,"84.0","45","52","38","42","40.1","17.0"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-19","7.38","0.10",,"82.0","43","49","39","40","40.2","26.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-20","9.40","1.30",,"83.0","37","42","34","35","41.4","34.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-21","12.08","0.60",,"88.0","29","35","23","24","42.0","41.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-22","8.72","0.40",,"86.0","24","29","21","23","42.0","38.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-23","3.58","0.10",,"83.0","33","50","21","35","41.9","15.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-24","7.61","0.00",,"82.0","38","44","34","36","41.9","21.5"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-25","5.37","0.00",,"81.0","39","47","33","33","41.9","16.8"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-26","5.37","0.00",,"79.0","37","53","27","37","41.7","20.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-27","11.41","0.00",,"79.0","36","42","30","30","41.4","38.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-28","8.28","0.90",,"86.0","24","32","20","21","42.5","35.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-29","4.70","0.00",,"83.0","24","35","18","26","42.5","17.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-30","3.58","0.00",,"82.0","31","40","25","31","42.5","15.2"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-03-31","3.58","0.00",,"80.0","39","51","30","41","42.4","11.9"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-01","2.91","0.00",,"79.0","44","60","36","42","42.0","13.4"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-02","6.26","0.00",,"76.0","44","50","41","42","41.3","21.7"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-03","7.38","0.00",,"75.0","42","49","39","39","40.3","23.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-04","8.28","0.00",,"74.0","42","50","37","39","39.3","26.6"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-05","2.46","0.00",,"72.0","43","52","32","40","38.2","12.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-06","2.46","0.00",,"71.0","48","56","38","48","37.6","12.3"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-07","2.01","0.00",,"70.0","50","57","43","49","36.9","16.1"
"USS0020K30S","SQUAW VALLEY G.C., CA US","2016-04-08","5.82","0.10",,"69.0","45","57","40","41","36.5","21.9"
